District,Year,Crop,Production
1,1966,Wheat,20.0
1,1967,Wheat,26.0
1,1968,Wheat,30.0
1,1969,Wheat,26.5
1,1970,Wheat,29.0
1,1971,Wheat,25.8
1,1972,Wheat,20.6
1,1973,Wheat,18.6
1,1974,Wheat,22.4
1,1975,Wheat,27.8
1,1976,Wheat,10.0
1,1977,Wheat,27.1
1,1978,Wheat,25.6
1,1979,Wheat,17.8
1,1980,Wheat,33.6
1,1981,Wheat,23.6
1,1982,Wheat,23.9
1,1983,Wheat,20.6
1,1984,Wheat,19.9
1,1985,Wheat,21.0
1,1986,Wheat,24.0
1,1987,Wheat,23.0
1,1988,Wheat,20.2
1,1989,Wheat,22.7
1,1990,Wheat,24.8
1,1991,Wheat,21.6
1,1992,Wheat,20.5
1,1993,Wheat,23.8
1,1994,Wheat,29.4
1,1995,Wheat,26.5
1,1996,Wheat,29.1
1,1997,Wheat,18.3
1,1998,Wheat,24.84
1,1999,Wheat,0.0
1,2000,Wheat,17.59
1,2001,Wheat,24.11
1,2002,Wheat,25.09
1,2003,Wheat,29.58
1,2004,Wheat,23.19
1,2005,Wheat,23.19
1,2006,Wheat,26.62
1,2007,Wheat,34.38
1,2008,Wheat,31.19
1,2009,Wheat,38.12
1,2010,Wheat,45.87
1,2011,Wheat,50.19
1,2012,Wheat,47.69
1,2013,Wheat,43.33
1,2014,Wheat,50.96
1,2015,Wheat,54.6
1,2016,Wheat,61.84
1,2017,Wheat,50.19
2,1966,Wheat,1.0
2,1967,Wheat,1.0
2,1968,Wheat,1.0
2,1969,Wheat,1.5
2,1970,Wheat,1.9
2,1971,Wheat,1.5
2,1972,Wheat,1.7
2,1973,Wheat,1.9
2,1974,Wheat,2.0
2,1975,Wheat,2.9
2,1976,Wheat,2.2
2,1977,Wheat,2.6
2,1978,Wheat,2.8
2,1979,Wheat,2.4
2,1980,Wheat,3.1
2,1981,Wheat,3.3
2,1982,Wheat,3.9
2,1983,Wheat,2.7
2,1984,Wheat,3.0
2,1985,Wheat,2.6
2,1986,Wheat,3.0
2,1987,Wheat,2.0
2,1988,Wheat,3.0
2,1989,Wheat,2.7
2,1990,Wheat,2.4
2,1991,Wheat,3.0
2,1992,Wheat,2.0
2,1993,Wheat,2.6
2,1994,Wheat,2.4
2,1995,Wheat,2.5
2,1996,Wheat,3.3
2,1997,Wheat,2.2
2,1998,Wheat,3.8
2,1999,Wheat,0.0
2,2000,Wheat,2.75
2,2001,Wheat,3.88
2,2002,Wheat,3.76
